/api/Products/1 - 547,8817 ms
/api/Products/1 - 275,9252 ms
/api/Products/1 - 596,7045 ms
/api/Products/1 - 2,5902 ms
/api/Products/1 - 596,3593 ms
/api/Products/1 - 3,2089 ms
/api/Products/1 - 557,6926 ms
/api/Products/1 - 56,3981 ms
/api/Products/1 - 237,7863 ms
/api/Products/1 - 0,8927 ms
/api/Products/1 - 0,6797 ms
/api/Products/1 - 969,0613 ms
/api/Products/1 - 56782,2422 ms
/api/Products/1 - 16648,7237 ms
/api/Products/1 - 536,984 ms
/api/Products - 1289,8421 ms
/api/Products/2 - 95,6637 ms
/api/Products/1 - 51,5868 ms
/api/Products/2 - 12,6774 ms
/api/Products/1 - 583,4601 ms
/api/Products/1 - 44,6854 ms
/api/Products/1 - 5,3655 ms
/api/Products/1 - 82,7144 ms
/api/Products/1 - 628,8572 ms
/api/Products/1 - 96,3179 ms
/api/Products/2 - 598,5854 ms
/api/Products/2 - 2,1894 ms
/api/Products/2 - 3,9351 ms
/api/Products/2 - 15937,1833 ms
/api/Products/1 - 619,6479 ms
/api/Products - 305,3317 ms
/api/Products/3 - 3,2989 ms
/api/Products/3 - 53,0521 ms
/api/Products/3 - 5,0912 ms
